Afeganistão,79,140.4829,1.8976
Albânia,2,3.5565,0.3010
Alemanha,286,508.5837,2.4564
Angola,5,8.8913,0.6990
Antártida,3,5.3348,0.4771
Argentina,291,517.4750,2.4639
Argélia,2,3.5565,0.3010
Austrália,30,53.3479,1.4771
Azerbaijão,1,1.7783,0.0000
Bahrein,26,46.2349,1.4150
Bangladesh,8,14.2261,0.9031
Barbados,2,3.5565,0.3010
Belize,1,1.7783,0.0000
Benin,1,1.7783,0.0000
Bolívia,48,85.3567,1.6812
Brasil,432,768.2103,2.6355
Brunei,2,3.5565,0.3010
Bulgária,1,1.7783,0.0000
Burundi,6,10.6696,0.7782
Bélgica,59,104.9176,1.7709
Bósnia-Herzegovina,4,7.1131,0.6021
Camarões,20,35.5653,1.3010
Camboja,3,5.3348,0.4771
Canadá,58,103.1393,1.7634
Chade,13,23.1174,1.1139
Chile,25,44.4566,1.3979
China,262,465.9053,2.4183
Chipre,2,3.5565,0.3010
Cingapura,10,17.7826,1.0000
Colômbia,54,96.0263,1.7324
Congo,9,16.0044,0.9542
Croácia,14,24.8957,1.1461
Cuba,176,312.9746,2.2455
Dinamarca,31,55.1262,1.4914
Djibuti,3,5.3348,0.4771
Egito,112,199.1656,2.0492
Equador,50,88.9132,1.6990
Eslováquia,11,19.5609,1.0414
Eslovênia,10,17.7826,1.0000
Espanha,103,183.1613,2.0128
Etiópia,3,5.3348,0.4771
Fiji,6,10.6696,0.7782
Filipinas,24,42.6784,1.3802
Finlândia,2,3.5565,0.3010
França,325,577.9360,2.5119
Gabão,2,3.5565,0.3010
Gana,1,1.7783,0.0000
Geórgia,6,10.6696,0.7782
Granada,1,1.7783,0.0000
Grécia,182,323.6442,2.2601
Guadalupe,12,21.3392,1.0792
Guatemala,17,30.2305,1.2304
Guernsey,1,1.7783,0.0000
Guiana,6,10.6696,0.7782
Guiné,18,32.0088,1.2553
Gâmbia,1,1.7783,0.0000
Haiti,35,62.2393,1.5441
Holanda,14,24.8957,1.1461
Honduras,11,19.5609,1.0414
Hungria,24,42.6784,1.3802
Indonésia,31,55.1262,1.4914
Iraque,227,403.6661,2.3560
Irlanda,13,23.1174,1.1139
Irão,1,1.7783,0.0000
Islândia,1,1.7783,0.0000
Israel,74,131.5916,1.8692
Itália,690,1227.0026,2.8388
Iêmen,59,104.9176,1.7709
Jamaica,1,1.7783,0.0000
Japão,74,131.5916,1.8692
Jersey,6,10.6696,0.7782
Jordânia,13,23.1174,1.1139
Kiribati,1,1.7783,0.0000
Laos,3,5.3348,0.4771
Libéria,10,17.7826,1.0000
Luxemburgo,3,5.3348,0.4771
Líbano,29,51.5697,1.4624
Líbia,129,229.3961,2.1106
Madagascar,1,1.7783,0.0000
Maldivas,3,5.3348,0.4771
Mali,23,40.9001,1.3617
Malta,8,14.2261,0.9031
Malásia,21,37.3436,1.3222
Marrocos,19,33.7870,1.2788
Martinica,5,8.8913,0.6990
Mauritânia,5,8.8913,0.6990
Maurício,13,23.1174,1.1139
Mongólia,1,1.7783,0.0000
Montenegro,17,30.2305,1.2304
Moçambique,4,7.1131,0.6021
Myanmar,3,5.3348,0.4771
México,191,339.6485,2.2810
Mônaco,2,3.5565,0.3010
Namíbia,1,1.7783,0.0000
Nepal,8,14.2261,0.9031
Nicarágua,15,26.6740,1.1761
Nigéria,48,85.3567,1.6812
Noruega,9,16.0044,0.9542
Níger,10,17.7826,1.0000
Omã,3,5.3348,0.4771
Panamá,9,16.0044,0.9542
Paquistão,38,67.5741,1.5798
Paraguai,33,58.6827,1.5185
Peru,39,69.3523,1.5911
Polônia,19,33.7870,1.2788
Portugal,15,26.6740,1.1761
Qatar,5,8.8913,0.6990
Quênia,42,74.6871,1.6232
Romênia,1,1.7783,0.0000
Ruanda,5,8.8913,0.6990
Senegal,8,14.2261,0.9031
Somália,26,46.2349,1.4150
Sudão,27,48.0131,1.4314
Suriname,3,5.3348,0.4771
Suécia,60,106.6959,1.7782
Suíça,47,83.5784,1.6721
Sérvia,12,21.3392,1.0792
Síria,626,1113.1937,2.7966
Tadjiquistão,2,3.5565,0.3010
Tailândia,16,28.4522,1.2041
Taiwan,59,104.9176,1.7709
Togo,2,3.5565,0.3010
Tonga,1,1.7783,0.0000
Tunísia,27,48.0131,1.4314
Turquia,317,563.7099,2.5011
Ucrânia,31,55.1262,1.4914
Uganda,23,40.9001,1.3617
Uruguai,42,74.6871,1.6232
Uzbequistão,1,1.7783,0.0000
Vanuatu,1,1.7783,0.0000
Vaticano,232,412.5574,2.3655
Venezuela,262,465.9053,2.4183
Vietnã,18,32.0088,1.2553
Áustria,48,85.3567,1.6812
Índia,33,58.6827,1.5185
