Abdul,3,1,1.5938,2.0320,0.4771,0.0000
Abílio,3,3,1.5938,6.0959,0.4771,0.4771
Adriana,19,1,10.0940,2.0320,1.2788,0.0000
Adriano,32,1,17.0005,2.0320,1.5051,0.0000
Adílio,2,1,1.0625,2.0320,0.3010,0.0000
Afonso,4,2,2.1251,4.0639,0.6021,0.3010
Africana,3,1,1.5938,2.0320,0.4771,0.0000
Africano,2,3,1.0625,6.0959,0.3010,0.4771
Agenor,2,4,1.0625,8.1279,0.3010,0.6021
Alberto,47,1,24.9694,2.0320,1.6721,0.0000
Alexandre,80,12,42.5011,24.3836,1.9031,1.0792
Alma,5,2,2.6563,4.0639,0.6990,0.3010
Amor,42,10,22.3131,20.3197,1.6232,1.0000
América,392,50,208.2555,101.5983,2.5933,1.6990
Américo,1,30,0.5313,60.9590,0.0000,1.4771
Ana,41,1,21.7818,2.0320,1.6128,0.0000
Ana Maria Machado,3,2,1.5938,4.0639,0.4771,0.3010
Aristóteles,4,3,2.1251,6.0959,0.6021,0.4771
Ary,8,1,4.2501,2.0320,0.9031,0.0000
Assis,17,3,9.0315,6.0959,1.2304,0.4771
Belém,13,2,6.9064,4.0639,1.1139,0.3010
Beto,8,6,4.2501,12.1918,0.9031,0.7782
Canto,6,3,3.1876,6.0959,0.7782,0.4771
Carlo,23,1,12.2191,2.0320,1.3617,0.0000
Carlos,96,16,51.0014,32.5115,1.9823,1.2041
Carlos Manuel,2,1,1.0625,2.0320,0.3010,0.0000
Cita,1,2,0.5313,4.0639,0.0000,0.3010
Clara,8,1,4.2501,2.0320,0.9031,0.0000
Clarisse,6,1,3.1876,2.0320,0.7782,0.0000
Conceição,20,4,10.6253,8.1279,1.3010,0.6021
Cristiano Ronaldo,46,1,24.4381,2.0320,1.6628,0.0000
Cândido,4,2,2.1251,4.0639,0.6021,0.3010
Daniel Alves,17,1,9.0315,2.0320,1.2304,0.0000
David,180,2,95.6275,4.0639,2.2553,0.3010
Denise,9,1,4.7814,2.0320,0.9542,0.0000
Diana,3,2,1.5938,4.0639,0.4771,0.3010
Dino,2,2,1.0625,4.0639,0.3010,0.3010
Dionísio,2,2,1.0625,4.0639,0.3010,0.3010
Duarte,3,2,1.5938,4.0639,0.4771,0.3010
Délcio,1,3,0.5313,6.0959,0.0000,0.4771
Eduardo,25,4,13.2816,8.1279,1.3979,0.6021
Eliseu,9,1,4.7814,2.0320,0.9542,0.0000
Emanuel,1,1,0.5313,2.0320,0.0000,0.0000
Eric,10,1,5.3126,2.0320,1.0000,0.0000
Esperança,7,1,3.7188,2.0320,0.8451,0.0000
Estrela,11,6,5.8439,12.1918,1.0414,0.7782
Eurico,5,8,2.6563,16.2557,0.6990,0.9031
