//--- Comparação de ocorrências lexicais entre grupos ---//
//--- Palavra | g16 (Angola) | g02 (Portugal) ---//

Abóbora              | 1, 0.5079       | 0
Acaba                | 1, 0.5079       | 0
Acabamos             | 8, 4.0635       | 0
Acabei               | 3, 1.5238       | 0
Acabo                | 1, 0.5079       | 0
Acabou               | 6, 3.0476       | 0
Academia             | 103, 52.3172      | 0
Academic             | 1, 0.5079       | 0
Academy              | 10, 5.0793       | 0
Acadêmica            | 1, 0.5079       | 0
Acadêmico            | 8, 4.0635       | 0
Acadêmicos           | 69, 35.0474      | 0
Acarajé              | 3, 1.5238       | 0
Acari                | 10, 5.0793       | 0
Accademia            | 3, 1.5238       | 0
Accardo              | 1, 0.5079       | 0
Aceitamos            | 1, 0.5079       | 0
Aceitar              | 2, 1.0159       | 0
Aceitaram            | 2, 1.0159       | 0
Aceito               | 1, 0.5079       | 0
Acelera              | 4, 2.0317       | 0
Acelerador           | 1, 0.5079       | 0
Aceleração           | 3, 1.5238       | 0
Acende               | 1, 0.5079       | 0
Acendi               | 1, 0.5079       | 0
Acer                 | 1, 0.5079       | 0
Acertou              | 1, 0.5079       | 0
Acervo               | 4, 2.0317       | 0
Acesso               | 25, 12.6983      | 0
Acessos              | 1, 0.5079       | 0
Acha                 | 1, 0.5079       | 0
Achamos              | 3, 1.5238       | 0
Achando              | 1, 0.5079       | 0
Achei                | 11, 5.5873       | 0
Achievement          | 1, 0.5079       | 0
Acho                 | 114, 57.9045      | 0
Achou                | 1, 0.5079       | 0
Achávamos            | 1, 0.5079       | 0
Aché                 | 5, 2.5397       | 0
Acidental            | 1, 0.5079       | 0
Acidente             | 1, 0.5079       | 0
Acidentes            | 3, 1.5238       | 0
Acima                | 2, 1.0159       | 0
Acioli               | 4, 2.0317       | 0
Acionada             | 2, 1.0159       | 0
Acionados            | 1, 0.5079       | 0
Acir                 | 1, 0.5079       | 0
Aclamado             | 1, 0.5079       | 0
Acnur                | 13, 6.6031       | 0
Acolhimento          | 1, 0.5079       | 0
Acompanhada          | 7, 3.5555       | 0
Acompanhado          | 8, 4.0635       | 0
Acompanhados         | 2, 1.0159       | 0
Acompanhamento       | 4, 2.0317       | 0
Acompanhando         | 3, 1.5238       | 0
Acompanhar           | 1, 0.5079       | 0
Acompanharam         | 1, 0.5079       | 0
Acompanhe            | 3, 1.5238       | 0
Acompanhei           | 2, 1.0159       | 0
Acompanho            | 1, 0.5079       | 0
Aconselhamos         | 4, 2.0317       | 0
Acontece             | 6, 3.0476       | 0
Aconteceram          | 1, 0.5079       | 0
Aconteceu            | 3, 1.5238       | 0
Acorda               | 3, 1.5238       | 0
Acordar              | 1, 0.5079       | 0
Acordei              | 1, 0.5079       | 0
Acordeon             | 1, 0.5079       | 0
Acordeonista         | 1, 0.5079       | 0
Acordo               | 29, 14.7301      | 0
Acordos              | 6, 3.0476       | 0
Acostumado           | 1, 0.5079       | 0
Acostumados          | 2, 1.0159       | 0
Acre                 | 13, 6.6031       | 0
Acredita             | 9, 4.5714       | 0
Acreditamos          | 18, 9.1428       | 0
Acreditando          | 4, 2.0317       | 0
Acreditar            | 1, 0.5079       | 0
Acreditem            | 3, 1.5238       | 0
Acredito             | 42, 21.3332      | 0
Acrescenta           | 3, 1.5238       | 0
Acrescentou          | 4, 2.0317       | 0
Acrobático           | 1, 0.5079       | 0
Acrílico             | 1, 0.5079       | 0
Act                  | 2, 1.0159       | 0
Acusada              | 3, 1.5238       | 0
Acusados             | 3, 1.5238       | 0
Acusando             | 2, 1.0159       | 0
Acusações            | 1, 0.5079       | 0
Acuña                | 4, 2.0317       | 0
Acyr                 | 2, 1.0159       | 0
Acústica             | 2, 1.0159       | 0
Acústico             | 1, 0.5079       | 0
Ad                   | 1, 0.5079       | 0
Ada                  | 2, 1.0159       | 0
Adalberto            | 24, 12.1904      | 0
Adalgisa             | 5, 2.5397       | 0
Adam                 | 21, 10.6666      | 0
Adamantina           | 1, 0.5079       | 0
Adamastor            | 2, 1.0159       | 0
Adams                | 4, 2.0317       | 0
Adapt                | 1, 0.5079       | 0
Adaptado             | 5, 2.5397       | 0
Adaptação            | 1, 0.5079       | 0
Adauto               | 1, 0.5079       | 0
Adega                | 1, 0.5079       | 0
