de,96373, 42188,171376.6969, 51662.4235,4.9840, 4.6252
que,41204, 22480,73271.6157, 27528.4745,4.6149, 4.3518
do,38259, 15898,68034.6264, 19468.3135,4.5827, 4.2013
da,32501, 13739,57795.3786, 16824.4533,4.5119, 4.1380
em,31306, 11091,55670.3524, 13581.7754,4.4956, 4.0450
para,21663, 8718,38522.5466, 10675.8559,4.3357, 3.9404
com,19419, 7347,34532.1208, 8996.9618,4.2882, 3.8661
um,15804, 7248,28103.6942, 8875.7288,4.1988, 3.8602
no,18754, 6965,33349.5748, 8529.1737,4.2731, 3.8429
os,14694, 6791,26129.8204, 8316.0974,4.1671, 3.8319
na,15989, 6772,28432.6731, 8292.8305,4.2038, 3.8307
news,1, 6726,1.7783, 8236.5000,0.0000, 3.8278
date,2, 6718,3.5565, 8226.7034,0.3010, 3.8272
uma,13627, 6403,24232.4121, 7840.9618,4.1344, 3.8064
dos,10233, 4819,18196.9819, 5901.2330,4.0100, 3.6830
as,9755, 4644,17346.9714, 5686.9322,3.9892, 3.6669
não,9263, 4515,16472.0652, 5528.9618,3.9668, 3.6547
por,10448, 4507,18579.3088, 5519.1652,4.0190, 3.6539
ao,7525, 4136,13381.4413, 5064.8474,3.8765, 3.6166
id,3, 3373,5.3348, 4130.4957,0.4771, 3.5280
das,7008, 3204,12462.0785, 3923.5424,3.8456, 3.5057
se,8274, 3177,14713.3615, 3890.4788,3.9177, 3.5020
mais,8143, 3077,14480.4089, 3768.0212,3.9108, 3.4881
foi,6903, 2822,12275.3607, 3455.7542,3.8390, 3.4506
como,6781, 2269,12058.4124, 2778.5635,3.8313, 3.3558
anos,4474, 2055,7955.9559, 2516.5042,3.6507, 3.3128
esta,354, 2026,629.5057, 2480.9915,2.5490, 3.3066
pelo,4960, 1976,8820.1926, 2419.7627,3.6955, 3.2958
ser,4004, 1909,7120.1716, 2337.7161,3.6025, 3.2808
mas,3607, 1821,6414.2005, 2229.9534,3.5571, 3.2603
pela,4554, 1670,8098.2171, 2045.0424,3.6584, 3.2227
aos,2485, 1583,4418.9876, 1938.5042,3.3953, 3.1995
sobre,3257, 1552,5791.8079, 1900.5424,3.5128, 3.1909
ter,2195, 1532,3903.2909, 1876.0508,3.3414, 3.1853
disse,3387, 1516,6022.9823, 1856.4576,3.5298, 3.1807
ou,2934, 1458,5217.4284, 1785.4322,3.4675, 3.1638
ainda,2871, 1454,5105.3977, 1780.5339,3.4580, 3.1626
entre,3949, 1431,7022.3670, 1752.3686,3.5965, 3.1556
milhões,1421, 1426,2526.9140, 1746.2458,3.1526, 3.1541
nos,3209, 1405,5706.4512, 1720.5297,3.5064, 3.1477
está,3228, 1399,5740.2382, 1713.1822,3.5089, 3.1458
também,4126, 1398,7337.1199, 1711.9576,3.6155, 3.1455
já,3384, 1362,6017.6475, 1667.8729,3.5294, 3.1342
ano,3172, 1313,5640.6554, 1607.8686,3.5013, 3.1183
sua,3461, 1257,6154.5739, 1539.2924,3.5392, 3.0993
tem,3101, 1143,5514.3986, 1399.6907,3.4915, 3.0580
este,682, 1142,1212.7765, 1398.4661,2.8338, 3.0577
dois,2150, 1103,3823.2689, 1350.7076,3.3324, 3.0426
nas,2481, 1034,4411.8745, 1266.2119,3.3946, 3.0145
depois,1142, 1032,2030.7782, 1263.7627,3.0577, 3.0137
foram,3160, 1029,5619.3162, 1260.0890,3.4997, 3.0124
seu,2744, 1016,4879.5581, 1244.1695,3.4384, 3.0069
até,2635, 1007,4685.7273, 1233.1483,3.4208, 3.0030
vai,1634, 1002,2905.6844, 1227.0254,3.2133, 3.0009
presidente,2286, 969,4065.1129, 1186.6144,3.3591, 2.9863
são,2852, 962,5071.6107, 1178.0424,3.4551, 2.9832
mil,2167, 950,3853.4994, 1163.3475,3.3359, 2.9777
pessoas,3044, 945,5413.0375, 1157.2246,3.4834, 2.9754
há,1751, 883,3113.7414, 1081.3008,3.2433, 2.9460
três,1469, 868,2612.2707, 1062.9322,3.1670, 2.9385
num,166, 857,295.1919, 1049.4619,2.2201, 2.9330
acordo,2221, 851,3949.5257, 1042.1144,3.3465, 2.9299
numa,169, 823,300.5267, 1007.8263,2.2279, 2.9154
país,2892, 813,5142.7413, 995.5805,3.4612, 2.9101
muito,2382, 812,4235.8263, 994.3559,3.3769, 2.9096
onde,1628, 781,2895.0148, 956.3941,3.2117, 2.8927
quando,1717, 762,3053.2804, 933.1271,3.2348, 2.8820
horas,551, 756,979.8238, 925.7797,2.7412, 2.8785
dia,3172, 726,5640.6554, 889.0424,3.5013, 2.8609
afirmou,1135, 717,2018.3304, 878.0212,3.0550, 2.8555
sido,867, 715,1541.7554, 875.5720,2.9380, 2.8543
sem,1411, 714,2509.1314, 874.3475,3.1495, 2.8537
estão,2047, 704,3640.1077, 862.1017,3.3111, 2.8476
mesmo,1400, 696,2489.5705, 852.3051,3.1461, 2.8426
segundo,1562, 690,2777.6493, 844.9576,3.1937, 2.8388
final,949, 661,1687.5731, 809.4449,2.9773, 2.8202
todos,1441, 659,2562.4793, 806.9958,3.1587, 2.8189
contra,2216, 651,3940.6344, 797.1991,3.3456, 2.8136
durante,1546, 622,2749.1971, 761.6864,3.1892, 2.7938
vez,1474, 621,2621.1621, 760.4619,3.1685, 2.7931
fazer,1376, 602,2446.8921, 737.1949,3.1386, 2.7796
cerca,1184, 600,2105.4653, 734.7458,3.0734, 2.7782
quatro,975, 596,1733.8080, 729.8475,2.9890, 2.7752
desde,1300, 584,2311.7440, 715.1525,3.1139, 2.7664
usa,59, 568,104.9176, 695.5593,1.7709, 2.7543
tinha,563, 566,1001.1630, 693.1102,2.7505, 2.7528
apenas,1311, 562,2331.3049, 688.2119,3.1176, 2.7497
duas,1157, 559,2057.4522, 684.5381,3.0633, 2.7474
caso,1006, 552,1788.9342, 675.9661,3.0026, 2.7419
meses,786, 552,1397.7160, 675.9661,2.8954, 2.7419
omissão,7, 552,12.4479, 675.9661,0.8451, 2.7419
pode,1925, 537,3423.1594, 657.5975,3.2844, 2.7300
primeira,1387, 531,2466.4530, 650.2500,3.1421, 2.7251
após,1877, 530,3337.8027, 649.0254,3.2735, 2.7243
forma,903, 529,1605.7730, 647.8008,2.9557, 2.7235
hoje,1521, 518,2704.7405, 634.3305,3.1821, 2.7143
pelos,1075, 514,1911.6345, 629.4322,3.0314, 2.7110
agência,354, 512,629.5057, 626.9830,2.5490, 2.7093
porque,1169, 506,2078.7913, 619.6356,3.0678, 2.7042
parte,1438, 504,2557.1445, 617.1864,3.1578, 2.7024
novo,828, 500,1472.4031, 612.2881,2.9180, 2.6990
menos,1057, 499,1879.6257, 611.0636,3.0241, 2.6981
tendo,226, 491,401.8878, 601.2669,2.3541, 2.6911
passado,1182, 487,2101.9088, 596.3686,3.0726, 2.6875
agora,705, 482,1253.6766, 590.2458,2.8482, 2.6830
outros,1500, 481,2667.3969, 589.0212,3.1761, 2.6821
jogo,615, 480,1093.6327, 587.7966,2.7889, 2.6812
só,1065, 473,1893.8518, 579.2246,3.0273, 2.6749
será,1945, 464,3458.7247, 568.2034,3.2889, 2.6665
grupo,1371, 462,2438.0008, 565.7542,3.1370, 2.6646
cinco,802, 462,1426.1682, 565.7542,2.9042, 2.6646
diz,729, 458,1296.3549, 560.8559,2.8627, 2.6609
equipa,2, 457,3.5565, 559.6314,0.3010, 2.6599
processo,675, 457,1200.3286, 559.6314,2.8293, 2.6599
tempo,1249, 454,2221.0525, 555.9576,3.0966, 2.6571
crianças,750, 451,1333.6985, 552.2839,2.8751, 2.6542
têm,854, 445,1518.6380, 544.9364,2.9315, 2.6484
comunicado,333, 440,592.1621, 538.8136,2.5224, 2.6435
primeiro,1707, 439,3035.4977, 537.5890,3.2322, 2.6425
trabalho,1054, 436,1874.2909, 533.9153,3.0228, 2.6395
era,1149, 434,2043.2261, 531.4661,3.0603, 2.6375
casa,760, 431,1351.4811, 527.7924,2.8808, 2.6345
líder,558, 426,992.2717, 521.6695,2.7466, 2.6294
dias,1320, 425,2347.3093, 520.4449,3.1206, 2.6284
vão,602, 425,1070.5153, 520.4449,2.7796, 2.6284
isso,1589, 424,2825.6625, 519.2203,3.2011, 2.6274
domingo,1039, 424,1847.6169, 519.2203,3.0166, 2.6274
seus,1387, 416,2466.4530, 509.4237,3.1421, 2.6191
ministro,911, 416,1619.9991, 509.4237,2.9595, 2.6191
estava,794, 416,1411.9421, 509.4237,2.8998, 2.6191
situação,654, 414,1162.9851, 506.9746,2.8156, 2.6170
grande,1412, 413,2510.9097, 505.7500,3.1498, 2.6160
homem,387, 410,688.1884, 502.0763,2.5877, 2.6128
