de,96373,23771,171376.6969,48301.8853,4.9840,4.3760
que,41204,14388,73271.6157,29235.9398,4.6149,4.1580
da,32501,8948,57795.3786,18182.0399,4.5119,3.9517
do,38259,7789,68034.6264,15826.9902,4.5827,3.8915
para,21663,6104,38522.5466,12403.1260,4.3357,3.7856
em,31306,5761,55670.3524,11706.1613,4.4956,3.7605
os,14694,4618,26129.8204,9383.6232,4.1671,3.6645
com,19419,3973,34532.1208,8073.0045,4.2882,3.5991
na,15989,3795,28432.6731,7711.3144,4.2038,3.5792
um,15804,3790,28103.6942,7701.1546,4.1988,3.5786
no,18754,3646,33349.5748,7408.5513,4.2731,3.5618
uma,13627,3237,24232.4121,6577.4769,4.1344,3.5101
dos,10233,3143,18196.9819,6386.4720,4.0100,3.4973
não,9263,3085,16472.0652,6268.6179,3.9668,3.4893
as,9755,3050,17346.9714,6197.4991,3.9892,3.4843
se,8274,2858,14713.3615,5807.3614,3.9177,3.4561
por,10448,2613,18579.3088,5309.5295,4.0190,3.4171
como,6781,2122,12058.4124,4311.8338,3.8313,3.3267
das,7008,2094,12462.0785,4254.9387,3.8456,3.3210
ao,7525,1996,13381.4413,4055.8059,3.8765,3.3002
mais,8143,1721,14480.4089,3497.0150,3.9108,3.2358
país,2892,1376,5142.7413,2795.9865,3.4612,3.1386
sua,3461,1329,6154.5739,2700.4840,3.5392,3.1235
foi,6903,1281,12275.3607,2602.9496,3.8390,3.1075
ser,4004,1163,7120.1716,2363.1775,3.6025,3.0656
seu,2744,1115,4879.5581,2265.6431,3.4384,3.0473
nos,3209,1106,5706.4512,2247.3554,3.5064,3.0438
pelo,4960,999,8820.1926,2029.9349,3.6955,2.9996
ou,2934,976,5217.4284,1983.1997,3.4675,2.9894
mas,3607,975,6414.2005,1981.1677,3.5571,2.9890
pela,4554,927,8098.2171,1883.6333,3.6584,2.9671
entre,3949,917,7022.3670,1863.3137,3.5965,2.9624
anos,4474,896,7955.9559,1820.6423,3.6507,2.9523
aos,2485,819,4418.9876,1664.1809,3.3953,2.9133
sobre,3257,812,5791.8079,1649.9571,3.5128,2.9096
também,4126,803,7337.1199,1631.6694,3.6155,2.9047
são,2852,793,5071.6107,1611.3498,3.4551,2.8993
tem,3101,789,5514.3986,1603.2219,3.4915,2.8971
disse,3387,769,6022.9823,1562.5825,3.5298,2.8859
está,3228,762,5740.2382,1548.3588,3.5089,2.8820
nas,2481,751,4411.8745,1526.0071,3.3946,2.8756
ainda,2871,750,5105.3977,1523.9752,3.4580,2.8751
já,3384,676,6017.6475,1373.6096,3.5294,2.8299
todos,1441,649,2562.4793,1318.7465,3.1587,2.8122
seus,1387,636,2466.4530,1292.3310,3.1421,2.8035
mesmo,1400,626,2489.5705,1272.0113,3.1461,2.7966
porque,1169,616,2078.7913,1251.6916,3.0678,2.7896
onde,1628,584,2895.0148,1186.6687,3.2117,2.7664
ano,3172,577,5640.6554,1172.4449,3.5013,2.7612
há,1751,575,3113.7414,1168.3810,3.2433,2.7597
este,682,570,1212.7765,1158.2211,2.8338,2.7559
pessoas,3044,563,5413.0375,1143.9974,3.4834,2.7505
nacional,420,559,746.8711,1135.8695,2.6232,2.7474
ter,2195,554,3903.2909,1125.7097,3.3414,2.7435
dia,3172,546,5640.6554,1109.4539,3.5013,2.7372
outros,1500,545,2667.3969,1107.4220,3.1761,2.7364
muito,2382,525,4235.8263,1066.7826,3.3769,2.7202
sem,1411,519,2509.1314,1054.5908,3.1495,2.7152
até,2635,517,4685.7273,1050.5269,3.4208,2.7135
paz,197,511,350.3181,1038.3351,2.2945,2.7084
desenvolvimento,432,510,768.2103,1036.3031,2.6355,2.7076
quando,1717,495,3053.2804,1005.8236,3.2348,2.6946
foram,3160,493,5619.3162,1001.7597,3.4997,2.6928
Governo,332,489,590.3839,993.6318,2.5211,2.6893
esta,354,474,629.5057,963.1523,2.5490,2.6758
nossa,423,471,752.2059,957.0564,2.6263,2.6730
vez,1474,463,2621.1621,940.8007,3.1685,2.6656
vida,906,455,1611.1078,924.5449,2.9571,2.6580
depois,1142,454,2030.7782,922.5130,3.0577,2.6571
cidade,1641,451,2918.1323,916.4171,3.2151,2.6542
isso,1589,450,2825.6625,914.3851,3.2011,2.6532
suas,1115,449,1982.7651,912.3531,3.0473,2.6522
fazer,1376,442,2446.8921,898.1294,3.1386,2.6454
moçambicanos,1,439,1.7783,892.0335,0.0000,2.6425
forma,903,436,1605.7730,885.9376,2.9557,2.6395
só,1065,433,1893.8518,879.8417,3.0273,2.6365
num,166,431,295.1919,875.7777,2.2201,2.6345
vai,1634,431,2905.6844,875.7777,3.2133,2.6345
parte,1438,429,2557.1445,871.7138,3.1578,2.6325
dois,2150,427,3823.2689,867.6499,3.3324,2.6304
Os,2903,425,5162.3022,863.5859,3.4628,2.6284
nosso,379,413,673.9623,839.2023,2.5786,2.6160
era,1149,413,2043.2261,839.2023,3.0603,2.6160
estão,2047,412,3640.1077,837.1704,3.3111,2.6149
segundo,1562,410,2777.6493,833.1064,3.1937,2.6128
pode,1925,406,3423.1594,824.9786,3.2844,2.6085
bem,982,401,1746.2559,814.8187,2.9921,2.6031
trabalho,1054,396,1874.2909,804.6589,3.0228,2.5977
Presidente,141,391,250.7353,794.4991,2.1492,2.5922
ontem,277,390,492.5793,792.4671,2.4425,2.5911
hoje,1521,390,2704.7405,792.4671,3.1821,2.5911
província,94,387,167.1569,786.3712,1.9731,2.5877
numa,169,381,300.5267,774.1794,2.2279,2.5809
Para,1540,375,2738.5275,761.9876,3.1875,2.5740
Estado,1602,370,2848.7799,751.8278,3.2047,2.5682
Em,2523,366,4486.5617,743.6999,3.4019,2.5635
cada,1115,366,1982.7651,743.6999,3.0473,2.5635
países,1229,358,2185.4872,727.4442,3.0896,2.5539
assim,661,348,1175.4329,707.1245,2.8202,2.5416
maior,1421,345,2526.9140,701.0286,3.1526,2.5378
independência,35,344,62.2393,698.9966,1.5441,2.5366
pois,386,341,686.4101,692.9007,2.5866,2.5328
Na,1579,341,2807.8798,692.9007,3.1984,2.5328
outro,684,337,1216.3330,684.7728,2.8351,2.5276
República,164,335,291.6354,680.7089,2.2148,2.5250
Nacional,874,335,1554.2033,680.7089,2.9415,2.5250
No,2347,333,4173.5871,676.6450,3.3705,2.5224
tempo,1249,333,2221.0525,676.6450,3.0966,2.5224
outras,999,333,1776.4864,676.6450,2.9996,2.5224
alguns,714,331,1269.6809,672.5810,2.8537,2.5198
deste,862,330,1532.8641,670.5491,2.9355,2.5185
têm,854,329,1518.6380,668.5171,2.9315,2.5172
milhões,1421,322,2526.9140,654.2933,3.1526,2.5079
tudo,537,321,954.9281,652.2614,2.7300,2.5065
durante,1546,319,2749.1971,648.1974,3.1892,2.5038
grande,1412,319,2510.9097,648.1974,3.1498,2.5038
ele,2213,315,3935.2996,640.0696,3.3450,2.4983
Não,976,310,1735.5863,629.9097,2.9894,2.4914
momento,973,306,1730.2515,621.7819,2.9881,2.4857
sempre,645,301,1146.9807,611.6220,2.8096,2.4786
acordo,2221,299,3949.5257,607.5581,3.3465,2.4757
contra,2216,299,3940.6344,607.5581,3.3456,2.4757
Por,753,299,1339.0333,607.5581,2.8768,2.4757
situação,654,298,1162.9851,605.5261,2.8156,2.4742
mundo,1247,297,2217.4960,603.4942,3.0959,2.4728
Mas,784,297,1394.1595,603.4942,2.8943,2.4728
social,423,296,752.2059,601.4622,2.6263,2.4713
deve,1115,293,1982.7651,595.3663,3.0473,2.4669
As,1875,291,3334.2462,591.3024,3.2730,2.4639
quem,626,290,1113.1937,589.2704,2.7966,2.4624
dias,1320,289,2347.3093,587.2384,3.1206,2.4609
sendo,1265,289,2249.5048,587.2384,3.1021,2.4609
seja,861,289,1531.0858,587.2384,2.9350,2.4609
mulher,449,288,798.4408,585.2065,2.6522,2.4594
sido,867,288,1541.7554,585.2065,2.9380,2.4594
mulheres,746,285,1326.5854,579.1106,2.8727,2.4548
povo,254,283,451.6792,575.0466,2.4048,2.4518
desde,1300,281,2311.7440,570.9827,3.1139,2.4487
através,355,280,631.2839,568.9507,2.5502,2.4472
pelos,1075,280,1911.6345,568.9507,3.0314,2.4472
jovens,427,279,759.3190,566.9188,2.6304,2.4456
nível,335,278,595.7187,564.8868,2.5250,2.4440
mil,2167,274,3853.4994,556.7589,3.3359,2.4378
três,1469,274,2612.2707,556.7589,3.1670,2.4378
apenas,1311,274,2331.3049,556.7589,3.1176,2.4378
sociedade,352,269,625.9491,546.5991,2.5465,2.4298
muitos,435,267,773.5451,542.5352,2.6385,2.4265
primeiro,1707,267,3035.4977,542.5352,3.2322,2.4265
todo,1202,265,2137.4741,538.4712,3.0799,2.4232
nós,379,264,673.9623,536.4393,2.5786,2.4216
política,552,263,981.6021,534.4073,2.7419,2.4200
neste,1123,261,1996.9912,530.3434,3.0504,2.4166
Segundo,2002,260,3560.0858,528.3114,3.3015,2.4150
moçambicano,5,255,8.8913,518.1516,0.6990,2.4065
cento,40,251,71.1306,510.0237,1.6021,2.3997
guerra,294,251,522.8098,510.0237,2.4683,2.3997
primeira,1387,251,2466.4530,510.0237,3.1421,2.3997
lugar,509,250,905.1367,507.9917,2.7067,2.3979
além,1160,249,2062.7870,505.9598,3.0645,2.3962
processo,675,247,1200.3286,501.8958,2.8293,2.3927
cerca,1184,246,2105.4653,499.8639,3.0734,2.3909
vários,387,245,688.1884,497.8319,2.5877,2.3892
duas,1157,243,2057.4522,493.7680,3.0633,2.3856
todas,708,243,1259.0114,493.7680,2.8500,2.3856
condições,307,242,545.9272,491.7360,2.4871,2.3838
desta,680,242,1209.2199,491.7360,2.8325,2.3838
tal,71,239,126.2568,485.6401,1.8513,2.3784
grupo,1371,238,2438.0008,483.6081,3.1370,2.3766
lado,688,238,1223.4461,483.6081,2.8376,2.3766
tendo,226,236,401.8878,479.5442,2.3541,2.3729
minha,386,234,686.4101,475.4803,2.5866,2.3692
crianças,750,234,1333.6985,475.4803,2.8751,2.3692
melhor,886,229,1575.5425,465.3204,2.9474,2.3598
exemplo,468,226,832.2278,459.2245,2.6702,2.3541
menos,1057,226,1879.6257,459.2245,3.0241,2.3541
conta,1230,225,2187.2655,457.1926,3.0899,2.3522
casa,760,221,1351.4811,449.0647,2.8808,2.3444
passado,1182,219,2101.9088,445.0008,3.0726,2.3404
ver,354,215,629.5057,436.8729,2.5490,2.3324
luta,352,215,625.9491,436.8729,2.5465,2.3324
presidente,2286,215,4065.1129,436.8729,3.3591,2.3324
produção,430,212,764.6538,430.7770,2.6335,2.3263
temos,414,212,736.2016,430.7770,2.6170,2.3263
local,1166,212,2073.4566,430.7770,3.0667,2.3263
muitas,417,211,741.5363,428.7450,2.6201,2.3243
diz,729,211,1296.3549,428.7450,2.8627,2.3243
poder,489,210,869.5714,426.7130,2.6893,2.3222
partido,331,210,588.6056,426.7130,2.5198,2.3222
De,1329,208,2363.3137,422.6491,3.1235,2.3181
sobretudo,88,208,156.4873,422.6491,1.9445,2.3181
sentido,202,207,359.2095,420.6171,2.3054,2.3160
afirmou,1135,207,2018.3304,420.6171,3.0550,2.3160
algumas,486,206,864.2366,418.5852,2.6866,2.3139
Com,1421,206,2526.9140,418.5852,3.1526,2.3139
qualquer,596,206,1059.8457,418.5852,2.7752,2.3139
vezes,572,206,1017.1674,418.5852,2.7574,2.3139
meu,314,205,558.3751,416.5532,2.4969,2.3118
formação,265,205,471.2401,416.5532,2.4232,2.3118
população,902,205,1603.9947,416.5532,2.9552,2.3118
dar,524,204,931.8107,414.5212,2.7193,2.3096
pouco,563,204,1001.1630,414.5212,2.7505,2.3096
ela,835,202,1484.8510,410.4573,2.9217,2.3054
região,994,201,1767.5950,408.4253,2.9974,2.3032
estar,602,201,1070.5153,408.4253,2.7796,2.3032
diálogo,100,196,177.8265,398.2655,2.0000,2.2923
qual,604,196,1074.0718,398.2655,2.7810,2.2923
vão,602,196,1070.5153,398.2655,2.7796,2.2923
educação,228,194,405.4443,394.2016,2.3579,2.2878
eu,703,194,1250.1200,394.2016,2.8470,2.2878
me,541,193,962.0412,392.1696,2.7332,2.2856
dizer,241,192,428.5618,390.1376,2.3820,2.2833
estava,794,192,1411.9421,390.1376,2.8998,2.2833
caso,1006,190,1788.9342,386.0737,3.0026,2.2788
espaço,416,189,739.7581,384.0417,2.6191,2.2765
problemas,462,187,821.5583,379.9778,2.6646,2.2718
partir,964,187,1714.2471,379.9778,2.9841,2.2718
quais,393,186,698.8580,377.9458,2.5944,2.2695
construção,236,186,419.6705,377.9458,2.3729,2.2695
nada,266,184,473.0184,373.8819,2.4249,2.2648
será,1945,184,3458.7247,373.8819,3.2889,2.2648
capital,793,184,1410.1638,373.8819,2.8993,2.2648
pelas,622,184,1106.0806,373.8819,2.7938,2.2648
quer,361,183,641.9535,371.8499,2.5575,2.2625
necessidade,248,183,441.0096,371.8499,2.3945,2.2625
antes,908,183,1614.6643,371.8499,2.9581,2.2625
nem,368,180,654.4014,365.7540,2.5658,2.2553
nossos,217,180,385.8834,365.7540,2.3365,2.2553
enquanto,560,179,995.8282,363.7221,2.7482,2.2529
distrito,31,179,55.1262,363.7221,1.4914,2.2529
verdade,150,179,266.7397,363.7221,2.1761,2.2529
mesma,349,175,620.6144,355.5942,2.5428,2.2430
unidade,310,175,551.2620,355.5942,2.4914,2.2430
número,1031,175,1833.3908,355.5942,3.0133,2.2430
cinco,802,174,1426.1682,353.5622,2.9042,2.2405
homens,355,173,631.2839,351.5303,2.5502,2.2380
novo,828,172,1472.4031,349.4983,2.9180,2.2355
qualidade,316,171,561.9316,347.4663,2.4997,2.2330
eles,899,171,1598.6599,347.4663,2.9538,2.2330
fim,1022,170,1817.3864,345.4344,3.0095,2.2304
podem,951,169,1691.1297,343.4024,2.9782,2.2279
Sul,762,169,1355.0376,343.4024,2.8820,2.2279
devem,612,169,1088.2980,343.4024,2.7868,2.2279
faz,582,169,1034.9500,343.4024,2.7649,2.2279
membros,314,168,558.3751,341.3704,2.4969,2.2253
apoio,696,168,1237.6722,341.3704,2.8426,2.2253
segurança,695,168,1235.8939,341.3704,2.8420,2.2253
aqui,472,167,839.3409,339.3385,2.6739,2.2227
fase,419,167,745.0929,339.3385,2.6222,2.2227
história,790,167,1404.8291,339.3385,2.8976,2.2227
estes,79,166,140.4829,337.3065,1.8976,2.2201
tinha,563,166,1001.1630,337.3065,2.7505,2.2201
causa,518,165,921.1411,335.2745,2.7143,2.2175
locais,495,165,880.2410,335.2745,2.6946,2.2175
relação,815,165,1449.2857,335.2745,2.9112,2.2175
após,1877,164,3337.8027,333.2426,3.2735,2.2148
Este,262,163,465.9053,331.2106,2.4183,2.2122
fez,683,163,1214.5547,331.2106,2.8344,2.2122
período,646,163,1148.7589,331.2106,2.8102,2.2122
falta,453,162,805.5539,329.1786,2.6561,2.2095
altura,167,162,296.9702,329.1786,2.2227,2.2095
Como,421,161,748.6494,327.1467,2.6243,2.2068
igualmente,9,161,16.0044,327.1467,0.9542,2.2068
