Abdul,3,2,1.5938,0.8185,0.4771,-0.2003
Abílio,3,4,1.5938,1.6370,0.4771,0.4929
Adriano dos Santos,1,3,0.5313,1.2278,0.0000,0.2052
Adão,4,5,2.1251,2.0463,0.6021,0.7160
Afonso,4,10,2.1251,4.0925,0.6021,1.4092
Afonso Costa,1,1,0.5313,0.4093,0.0000,-0.8934
Africana,3,8,1.5938,3.2740,0.4771,1.1860
Africano,2,10,1.0625,4.0925,0.3010,1.4092
Alberto,47,1,24.9694,0.4093,1.6721,-0.8934
Alegria,39,3,20.7193,1.2278,1.5911,0.2052
Alex,26,2,13.8129,0.8185,1.4150,-0.2003
Alexandra,10,1,5.3126,0.4093,1.0000,-0.8934
Alexandra Daddario,1,1,0.5313,0.4093,0.0000,-0.8934
Alexandre,80,3,42.5011,1.2278,1.9031,0.2052
Alice,16,6,8.5002,2.4555,1.2041,0.8983
Alma,5,3,2.6563,1.2278,0.6990,0.2052
Amarildo,18,2,9.5628,0.8185,1.2553,-0.2003
Amaro,6,2,3.1876,0.8185,0.7782,-0.2003
Amor,42,28,22.3131,11.4591,1.6232,2.4388
Amorim,6,6,3.1876,2.4555,0.7782,0.8983
América,392,43,208.2555,17.5979,2.5933,2.8678
Ana,41,2,21.7818,0.8185,1.6128,-0.2003
Ana Carolina,16,1,8.5002,0.4093,1.2041,-0.8934
Ana Maria Machado,3,4,1.5938,1.6370,0.4771,0.4929
Ana Paula,11,3,5.8439,1.2278,1.0414,0.2052
André,114,1,60.5641,0.4093,2.0569,-0.8934
Aquiles,4,4,2.1251,1.6370,0.6021,0.4929
Argentina,419,63,222.5997,25.7830,2.6222,3.2497
Aristóteles,4,4,2.1251,1.6370,0.6021,0.4929
Ary,8,13,4.2501,5.3203,0.9031,1.6715
Arão,6,2,3.1876,0.8185,0.7782,-0.2003
Assunção,8,1,4.2501,0.4093,0.9031,-0.8934
Bartolomeu,7,3,3.7188,1.2278,0.8451,0.2052
Bela,10,12,5.3126,4.9110,1.0000,1.5915
Benedito,1,4,0.5313,1.6370,0.0000,0.4929
Benjamim,2,3,1.0625,1.2278,0.3010,0.2052
Bento,75,7,39.8448,2.8648,1.8751,1.0525
Beto,8,1,4.2501,0.4093,0.9031,-0.8934
Bruce,6,12,3.1876,4.9110,0.7782,1.5915
Bruna,10,1,5.3126,0.4093,1.0000,-0.8934
Bruno,100,19,53.1264,7.7758,2.0000,2.0510
Bruno Lopes,1,6,0.5313,2.4555,0.0000,0.8983
Brás,18,2,9.5628,0.8185,1.2553,-0.2003
Caetano,28,5,14.8754,2.0463,1.4472,0.7160
Carlos,96,9,51.0014,3.6833,1.9823,1.3038
Carlos Alberto,14,4,7.4377,1.6370,1.1461,0.4929
Carlos Alexandre,8,20,4.2501,8.1851,0.9031,2.1023
Carlos Gomes,1,3,0.5313,1.2278,0.0000,0.2052
Carlos José,4,1,2.1251,0.4093,0.6021,-0.8934
Carlos Manuel,2,2,1.0625,0.8185,0.3010,-0.2003
Carlota,20,1,10.6253,0.4093,1.3010,-0.8934
Carmo,40,2,21.2506,0.8185,1.6021,-0.2003
Carol,19,8,10.0940,3.2740,1.2788,1.1860
Catarina,1,5,0.5313,2.0463,0.0000,0.7160
Celso,24,7,12.7503,2.8648,1.3802,1.0525
Clara,8,2,4.2501,0.8185,0.9031,-0.2003
Cláudio,36,4,19.1255,1.6370,1.5563,0.4929
Cristiano Ronaldo,46,9,24.4381,3.6833,1.6628,1.3038
Cândido,4,1,2.1251,0.4093,0.6021,-0.8934
Cícero,15,4,7.9690,1.6370,1.1761,0.4929
David,180,4,95.6275,1.6370,2.2553,0.4929
David Mendes,1,156,0.5313,63.8435,0.0000,4.1564
Diana,3,3,1.5938,1.2278,0.4771,0.2052
Diego Armando Maradona,3,1,1.5938,0.4093,0.4771,-0.8934
Diego Jorge Dzodan,1,3,0.5313,1.2278,0.0000,0.2052
Dino,2,3,1.0625,1.2278,0.3010,0.2052
Djalma,1,2,0.5313,0.8185,0.0000,-0.2003
Domingos,12,17,6.3752,6.9573,1.0792,1.9398
