___________________CIDADES__________________________
| Cidade	| Total	| Freq	| Log	|
| lagoa	| 1	| 1.78	| 0.00	|
| brasileira	| 58	| 103.14	| 1.76	|
| divino	| 2	| 3.56	| 0.30	|
| dourado	| 1	| 1.78	| 0.00	|
| contenda	| 2	| 3.56	| 0.30	|
| altos	| 25	| 44.46	| 1.40	|
| sorriso	| 1	| 1.78	| 0.00	|
| tesouro	| 1	| 1.78	| 0.00	|
| bandeira	| 31	| 55.13	| 1.49	|
| harmonia	| 5	| 8.89	| 0.70	|
| casca	| 2	| 3.56	| 0.30	|
| mesquita	| 35	| 62.24	| 1.54	|
| americana	| 21	| 37.34	| 1.32	|
| serrana	| 3	| 5.33	| 0.48	|
| custódia	| 13	| 23.12	| 1.11	|
____________________________________________________
Total de cidades: 152
