//--- Comparação de ocorrências lexicais entre grupos ---//
//--- Palavra | g16 (Angola) | g02 (Portugal) ---//

abismal              | 3, 1.1616       | 0
abismo               | 8, 3.0976       | 3, 4.9352
abismos              | 1, 0.3872       | 0
ablação              | 0               | 1, 1.6451
abnegado             | 4, 1.5488       | 0
abnegação            | 9, 3.4848       | 0
abocanhada           | 1, 0.3872       | 0
abocanhado           | 1, 0.3872       | 0
abocanhar            | 5, 1.9360       | 0
abolida              | 2, 0.7744       | 0
abolido              | 2, 0.7744       | 0
abolidos             | 0               | 1, 1.6451
abolir               | 3, 1.1616       | 1, 1.6451
aboliram             | 0               | 1, 1.6451
aboliu               | 2, 0.7744       | 0
aboliu-se            | 1, 0.3872       | 0
abolição             | 11, 4.2593       | 4, 6.5802
abomina              | 3, 1.1616       | 0
abominado            | 1, 0.3872       | 0
abominam             | 3, 1.1616       | 0
abominar             | 1, 0.3872       | 0
abominava            | 2, 0.7744       | 0
abominação           | 0               | 1, 1.6451
abomino              | 1, 0.3872       | 0
abomináveis          | 2, 0.7744       | 0
abominável           | 3, 1.1616       | 1, 1.6451
abona                | 22, 8.5185       | 3, 4.9352
abonado              | 2, 0.7744       | 0
abonados             | 2, 0.7744       | 0
abonam               | 2, 0.7744       | 0
abonatória           | 4, 1.5488       | 0
abonatório           | 2, 0.7744       | 0
abonatórios          | 2, 0.7744       | 0
abono                | 29, 11.2290      | 14, 23.0309
abonos               | 0               | 1, 1.6451
abonou               | 2, 0.7744       | 0
aborda               | 42, 16.2626      | 4, 6.5802
aborda-la            | 2, 0.7744       | 0
abordada             | 27, 10.4545      | 4, 6.5802
abordadas            | 9, 3.4848       | 2, 3.2901
abordado             | 30, 11.6162      | 11, 18.0957
abordados            | 18, 6.9697       | 5, 8.2253
abordagem            | 114, 44.1414      | 13, 21.3858
abordagens           | 19, 7.3569       | 0
abordam              | 10, 3.8721       | 1, 1.6451
abordamos            | 5, 1.9360       | 0
abordando            | 4, 1.5488       | 2, 3.2901
abordar              | 68, 26.3300      | 12, 19.7407
abordaram            | 5, 1.9360       | 3, 4.9352
abordarei            | 4, 1.5488       | 0
abordarem            | 3, 1.1616       | 0
abordará             | 4, 1.5488       | 0
abordassem           | 0               | 1, 1.6451
abordava             | 7, 2.7104       | 0
abordavam            | 0               | 2, 3.2901
aborde               | 4, 1.5488       | 0
abordei              | 4, 1.5488       | 0
abordem              | 1, 0.3872       | 0
abordo               | 1, 0.3872       | 0
abordou              | 36, 13.9394      | 5, 8.2253
abordámos            | 4, 1.5488       | 0
aborrece             | 2, 0.7744       | 0
aborrecer            | 2, 0.7744       | 0
aborreceu            | 0               | 1, 1.6451
aborrecida           | 4, 1.5488       | 1, 1.6451
aborrecido           | 4, 1.5488       | 1, 1.6451
aborrecidos          | 0               | 3, 4.9352
abortada             | 7, 2.7104       | 0
abortado             | 0               | 1, 1.6451
